Wavelength nm.,C5,C5,C5,C8,C8,C8,C18,C18,C18,C36,C36,C36,C72,C72,C72,C144,C144,C144
264,0.20323,0.20111,0.20233,0.23181,0.23035,0.22943,0.35509,0.35315,0.35657,0.60445,0.64745,0.64619,1.28847,1.26614,1.26419,1.91472,2.13934,2.13257
265,0.20107,0.19897,0.20027,0.22916,0.22765,0.22673,0.34917,0.3475,0.35074,0.59503,0.63687,0.63573,1.26917,1.2464,1.24606,1.8923,2.13043,2.12704
266,0.1987,0.1967,0.19788,0.22632,0.22487,0.22371,0.34268,0.34105,0.3443,0.58472,0.62483,0.62392,1.24846,1.22586,1.22581,1.87314,2.11401,2.11559
267,0.1962,0.19412,0.19531,0.2233,0.22176,0.22075,0.33615,0.3345,0.33777,0.57475,0.6136,0.61212,1.2265,1.20357,1.20462,1.85495,2.11047,2.10193
268,0.1937,0.19167,0.19281,0.22012,0.21899,0.21782,0.32933,0.32765,0.33089,0.56407,0.60143,0.60048,1.20573,1.18135,1.18378,1.82524,2.08186,2.0965
269,0.19135,0.18925,0.19049,0.21748,0.21602,0.21477,0.32278,0.32133,0.32436,0.55328,0.58958,0.58832,1.1841,1.1601,1.16006,1.80185,2.0766,2.07231
270,0.18871,0.18671,0.1877,0.21426,0.2128,0.21147,0.31551,0.31387,0.31694,0.54189,0.57637,0.57515,1.15794,1.13608,1.13632,1.76872,2.06026,2.05055
271,0.18594,0.18414,0.18521,0.21106,0.20937,0.20834,0.30832,0.30663,0.30977,0.53041,0.56303,0.5619,1.13408,1.11154,1.11203,1.74422,2.03946,2.03529
272,0.1835,0.18156,0.18256,0.20796,0.20625,0.2052,0.30077,0.29919,0.30226,0.51849,0.54936,0.54852,1.10725,1.08614,1.08591,1.7126,2.01221,2.00478
273,0.18053,0.17862,0.1796,0.20428,0.20264,0.20149,0.29276,0.29103,0.29398,0.50545,0.53473,0.53366,1.08002,1.05852,1.05916,1.67851,1.98474,1.9769
274,0.17749,0.17564,0.17667,0.20065,0.19887,0.19774,0.28476,0.28293,0.28601,0.49289,0.52052,0.51901,1.0535,1.0314,1.03258,1.64017,1.95285,1.95062
275,0.17468,0.17279,0.17404,0.19708,0.19548,0.19437,0.27675,0.27499,0.27814,0.47983,0.50594,0.50449,1.02507,1.00475,1.005,1.60117,1.92226,1.92628
276,0.17152,0.16954,0.17081,0.19328,0.19168,0.19044,0.26802,0.26659,0.26945,0.46608,0.4903,0.48918,0.99529,0.97565,0.97568,1.5582,1.89011,1.88152
