,,Minutes,replicate 1 ,replicate 2 ,replicate 3
55:07:19,125,2.083333333,0.77,0.94,1.14
55:07:20,126,2.1,0.76,0.94,1.14
55:07:21,127,2.116666667,0.76,0.94,1.18
55:07:22,128,2.133333333,0.75,0.94,1.11
55:07:23,129,2.15,0.75,0.94,1.16
55:07:24,130,2.166666667,0.75,0.93,1.15
55:07:25,131,2.183333333,0.74,0.94,1.13
55:07:26,132,2.2,0.75,0.93,1.18
55:07:27,133,2.216666667,0.74,0.93,1.12
55:07:28,134,2.233333333,0.74,0.94,1.15
55:07:29,135,2.25,0.74,0.94,1.17
55:07:30,136,2.266666667,0.74,0.93,1.11
55:07:31,137,2.283333333,0.76,0.94,1.18
55:07:32,138,2.3,0.79,0.94,1.16
55:07:33,139,2.316666667,0.8,0.94,1.12
55:07:34,140,2.333333333,0.8,0.94,1.18
55:07:35,141,2.35,0.8,0.94,1.14
55:07:36,142,2.366666667,0.79,0.94,1.12
55:07:37,143,2.383333333,0.79,0.94,1.19
55:07:38,144,2.4,0.78,0.94,1.13
55:07:39,145,2.416666667,0.78,0.94,1.14
55:07:40,146,2.433333333,0.77,0.94,1.18
55:07:41,147,2.45,0.76,0.93,1.11
55:07:42,148,2.466666667,0.76,0.94,1.16
55:07:43,149,2.483333333,0.75,0.93,1.15
55:07:44,150,2.5,0.75,0.93,1.12
55:07:45,151,2.516666667,0.74,0.93,1.18
55:07:46,152,2.533333333,0.74,0.93,1.12
55:07:47,153,2.55,0.73,0.93,1.14
55:07:48,154,2.566666667,0.73,0.93,1.17
55:07:49,155,2.583333333,0.72,0.93,1.11
55:07:50,156,2.6,0.72,0.93,1.18
55:07:51,157,2.616666667,0.71,0.93,1.14
55:07:52,158,2.633333333,0.71,0.93,1.13
55:07:53,159,2.65,0.7,0.93,1.18
55:07:54,160,2.666666667,0.7,0.93,1.11
55:07:55,161,2.683333333,0.7,0.93,1.15
55:07:56,162,2.7,0.69,0.93,1.15
55:07:57,163,2.716666667,0.7,0.93,1.1
55:07:58,164,2.733333333,0.71,0.93,1.18
55:07:59,165,2.75,0.73,0.93,1.13
55:08:00,166,2.766666667,0.74,0.93,1.13
55:08:01,167,2.783333333,0.76,0.93,1.18
55:08:02,168,2.8,0.8,0.93,1.11
55:08:03,169,2.816666667,0.82,0.94,1.16
55:08:04,170,2.833333333,0.84,0.94,1.15
55:08:05,171,2.85,0.86,0.94,1.12
55:08:06,172,2.866666667,0.87,0.94,1.18
55:08:07,173,2.883333333,0.88,0.94,1.12
55:08:08,174,2.9,0.88,0.94,1.14
55:08:09,175,2.916666667,0.88,0.94,1.17
55:08:10,176,2.933333333,0.88,0.94,1.11
55:08:11,177,2.95,0.88,0.94,1.18
55:08:12,178,2.966666667,0.87,0.94,1.14
55:08:13,179,2.983333333,0.87,0.94,1.13
55:08:14,180,3,0.87,0.94,1.18
55:08:15,181,3.016666667,0.87,0.94,1.11
55:08:16,182,3.033333333,0.88,0.94,1.16
55:08:17,183,3.05,0.87,0.94,1.15
55:08:18,184,3.066666667,0.86,0.94,1.11
55:08:19,185,3.083333333,0.86,0.94,1.18
55:08:20,186,3.1,0.85,0.94,1.13
55:08:21,187,3.116666667,0.84,0.94,1.14
55:08:22,188,3.133333333,0.83,0.94,1.17
55:08:23,189,3.15,0.82,0.93,1.1
55:08:24,190,3.166666667,0.81,0.94,1.18
55:08:25,191,3.183333333,0.8,0.93,1.13
55:08:26,192,3.2,0.8,0.93,1.14
55:08:27,193,3.216666667,0.8,0.93,1.17
55:08:28,194,3.233333333,0.81,0.93,1.1
55:08:29,195,3.25,0.81,0.93,1.17
55:08:30,196,3.266666667,0.81,0.93,1.12
55:08:31,197,3.283333333,0.8,0.93,1.13
55:08:32,198,3.3,0.8,0.93,1.16
55:08:33,199,3.316666667,0.79,0.93,1.1
55:08:34,200,3.333333333,0.79,0.92,1.17
55:08:35,201,3.35,0.78,0.9,1.11
55:08:36,202,3.366666667,0.77,0.9,1.14
55:08:37,203,3.383333333,0.77,0.9,1.16
55:08:38,204,3.4,0.78,0.9,1.1
55:08:39,205,3.416666667,0.8,0.9,1.16
55:08:40,206,3.433333333,0.81,0.9,1.12
55:08:41,207,3.45,0.82,0.91,1.11
55:08:42,208,3.466666667,0.82,0.91,1.17
55:08:43,209,3.483333333,0.81,0.91,1.1
55:08:44,210,3.5,0.81,0.91,1.15
55:08:45,211,3.516666667,0.8,0.91,1.13
55:08:46,212,3.533333333,0.79,0.91,1.1
55:08:47,213,3.55,0.79,0.91,1.17
55:08:48,214,3.566666667,0.78,0.91,1.11
55:08:49,215,3.583333333,0.77,0.92,1.13
55:08:50,216,3.6,0.77,0.92,1.16
55:08:51,217,3.616666667,0.76,0.92,1.09
55:08:52,218,3.633333333,0.76,0.92,1.15
55:08:53,219,3.65,0.75,0.92,1.13
55:08:54,220,3.666666667,0.74,0.92,1.1
55:08:55,221,3.683333333,0.74,0.92,1.16
55:08:56,222,3.7,0.74,0.92,1.11
55:08:57,223,3.716666667,0.73,0.92,1.13
55:08:58,224,3.733333333,0.73,0.92,1.16
55:08:59,225,3.75,0.72,0.92,1.09
55:09:00,226,3.766666667,0.72,0.92,1.15
55:09:01,227,3.783333333,0.71,0.92,1.11
55:09:02,228,3.8,0.71,0.92,1.08
55:09:03,229,3.816666667,0.71,0.92,1.13
55:09:04,230,3.833333333,0.7,0.92,1.06
55:09:05,231,3.85,0.7,0.92,1.09
55:09:06,232,3.866666667,0.7,0.92,1.1
55:09:07,233,3.883333333,0.69,0.92,1.05
55:09:08,234,3.9,0.69,0.92,1.13
55:09:09,235,3.916666667,0.69,0.92,1.08
55:09:10,236,3.933333333,0.68,0.93,1.09
55:09:11,237,3.95,0.68,0.93,1.12
55:09:12,238,3.966666667,0.68,0.93,1.05
55:09:13,239,3.983333333,0.68,0.93,1.12
55:09:14,240,4,0.68,0.93,1.08
55:09:15,241,4.016666667,0.67,0.93,1.07
55:09:16,242,4.033333333,0.67,0.93,1.12
55:09:17,243,4.05,0.67,0.93,1.05
55:09:18,244,4.066666667,0.67,0.93,1.11
55:09:19,245,4.083333333,0.67,0.93,1.1
55:09:20,246,4.1,0.66,0.93,1.06
55:09:21,247,4.116666667,0.66,0.93,1.13
55:09:22,248,4.133333333,0.66,0.93,1.06
55:09:23,249,4.15,0.66,0.93,1.11
55:09:24,250,4.166666667,0.66,0.93,1.1
