"","Nonnao-new Last (V)","BPV-G Last (V)","BPV Educational Toolkit Last (V)","BPV-A Last (V)","Single-ended 5 Last (V)","BPV-C Last (V)","BPV-H  Last (V)","BPV-B Last (V)","BPV-F CAP-Charg. Dif 9 - 10 Last (V)","Mud-Power Last (V)"
"125:32:09","-0.217","-0.282","-0.503","-0.007","0.000","-0.063","-0.316","-0.250","-0.532","-0.365"
"125:32:10","-0.217","-0.282","-0.503","-0.007","0.000","-0.063","-0.316","-0.250","-0.532","-0.365"
"125:32:11","-0.217","-0.282","-0.503","-0.007","0.000","-0.063","-0.316","-0.250","-0.532","-0.365"
"125:32:12","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.250","-0.532","-0.365"
"125:32:13","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.250","-0.532","-0.365"
"125:32:14","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.250","-0.532","-0.365"
"125:32:15","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:16","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:17","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:18","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:19","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:20","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:21","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:22","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:23","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:24","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:25","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:26","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.249","-0.532","-0.365"
"125:32:27","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:28","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:29","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:30","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:31","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:32","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:33","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:34","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:35","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:36","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:37","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.248","-0.532","-0.365"
"125:32:38","-0.217","-0.282","-0.504","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:39","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:40","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:41","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:42","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:43","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:44","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:45","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:46","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:47","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:48","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.247","-0.532","-0.365"
"125:32:49","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:32:50","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:32:51","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:32:52","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:32:53","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:32:54","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:32:55","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:32:56","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:32:57","-0.217","-0.282","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:32:58","-0.217","-0.281","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:32:59","-0.217","-0.281","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:33:00","-0.217","-0.281","-0.505","-0.007","0.000","-0.063","-0.316","-0.246","-0.532","-0.365"
"125:33:01","-0.217","-0.281","-0.505","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:02","-0.217","-0.281","-0.505","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:03","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:04","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:05","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:06","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:07","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:08","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:09","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:10","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:11","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.245","-0.532","-0.365"
"125:33:12","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.532","-0.365"
"125:33:13","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.532","-0.365"
"125:33:14","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.532","-0.365"
"125:33:15","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.533","-0.365"
"125:33:16","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.533","-0.365"
"125:33:17","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.533","-0.365"
"125:33:18","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.533","-0.365"
"125:33:19","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.533","-0.365"
"125:33:20","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.533","-0.365"
"125:33:21","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.533","-0.365"
"125:33:22","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.533","-0.365"
"125:33:23","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.244","-0.533","-0.365"
"125:33:24","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.243","-0.533","-0.365"
"125:33:25","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.243","-0.533","-0.365"
"125:33:26","-0.217","-0.281","-0.506","-0.007","0.000","-0.063","-0.316","-0.243","-0.533","-0.365"
"125:33:27","-0.217","-0.281","-0.507","-0.007","0.000","-0.063","-0.316","-0.243","-0.533","-0.365"
"125:33:28","-0.217","-0.281","-0.507","-0.007","0.000","-0.063","-0.316","-0.243","-0.533","-0.365"
"125:33:29","-0.217","-0.281","-0.507","-0.007","0.000","-0.063","-0.316","-0.243","-0.533","-0.365"
"125:33:30","-0.217","-0.281","-0.507","-0.007","0.000","-0.063","-0.316","-0.243","-0.533","-0.365"
"125:33:31","-0.217","-0.281","-0.507","-0.007","0.000","-0.063","-0.316","-0.243","-0.533","-0.365"
"125:33:32","-0.217","-0.281","-0.507","-0.007","0.000","-0.063","-0.316","-0.243","-0.533","-0.365"
"125:33:33","-0.217","-0.281","-0.507","-0.007","0.000","-0.063","-0.316","-0.243","-0.533","-0.365"
"125:33:34","-0.217","-0.281","-0.507","-0.007","0.000","-0.063","-0.316","-0.243","-0.533","-0.365"
"125:33:35","-0.217","-0.281","-0.507","-0.007","0.000","-0.063","-0.316","-0.243","-0.533","-0.365"
"125:33:36","-0.217","-0.281","-0.507","-0.007","0.000","-0.063","-0.316","-0.242","-0.533","-0.365"
"125:33:37","-0.217","-0.281","-0.507","-0.007","0.000","-0.063","-0.316","-0.242","-0.533","-0.365"
"125:33:38","-0.217","-0.281","-0.508","-0.007","0.000","-0.063","-0.316","-0.242","-0.533","-0.365"
"125:33:39","-0.217","-0.281","-0.508","-0.007","0.000","-0.063","-0.316","-0.242","-0.533","-0.365"
"125:33:40","-0.217","-0.281","-0.508","-0.007","0.000","-0.063","-0.316","-0.242","-0.533","-0.365"
"125:33:41","-0.217","-0.281","-0.508","-0.007","0.000","-0.063","-0.316","-0.242","-0.533","-0.365"
"125:33:42","-0.217","-0.281","-0.508","-0.007","0.000","-0.063","-0.316","-0.242","-0.533","-0.365"
"125:33:43","-0.217","-0.281","-0.508","-0.007","0.000","-0.063","-0.316","-0.242","-0.533","-0.365"
"125:33:44","-0.217","-0.281","-0.508","-0.007","0.000","-0.063","-0.316","-0.242","-0.533","-0.365"
"125:33:45","-0.217","-0.281","-0.508","-0.007","0.000","-0.063","-0.316","-0.242","-0.533","-0.365"
"125:33:46","-0.217","-0.281","-0.508","-0.007","0.000","-0.063","-0.316","-0.242","-0.533","-0.365"
"125:33:47","-0.217","-0.281","-0.508","-0.007","0.000","-0.063","-0.316","-0.242","-0.533","-0.365"
"125:33:48","-0.217","-0.281","-0.508","-0.007","0.000","-0.063","-0.316","-0.241","-0.533","-0.365"
"125:33:49","-0.217","-0.281","-0.508","-0.007","0.000","-0.063","-0.316","-0.241","-0.533","-0.365"
"125:33:50","-0.217","-0.281","-0.508","-0.007","0.000","-0.063","-0.316","-0.241","-0.533","-0.365"
"125:33:51","-0.217","-0.281","-0.508","-0.007","0.000","-0.063","-0.316","-0.241","-0.533","-0.365"
"125:33:52","-0.217","-0.281","-0.508","-0.007","0.000","-0.063","-0.316","-0.241","-0.533","-0.365"
"125:33:53","-0.217","-0.281","-0.508","-0.007","0.000","-0.063","-0.316","-0.241","-0.533","-0.365"
"125:33:54","-0.217","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.241","-0.533","-0.365"
"125:33:55","-0.217","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.241","-0.533","-0.365"
"125:33:56","-0.217","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.241","-0.533","-0.365"
"125:33:57","-0.217","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.241","-0.533","-0.365"
"125:33:58","-0.217","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.241","-0.533","-0.365"
"125:33:59","-0.217","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.240","-0.533","-0.365"
"125:34:00","-0.217","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.240","-0.533","-0.365"
"125:34:01","-0.217","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.240","-0.533","-0.365"
"125:34:02","-0.218","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.240","-0.533","-0.365"
"125:34:03","-0.218","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.240","-0.533","-0.365"
"125:34:04","-0.218","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.240","-0.533","-0.365"
"125:34:05","-0.218","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.240","-0.533","-0.365"
"125:34:06","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.240","-0.533","-0.365"
"125:34:07","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.240","-0.533","-0.365"
"125:34:08","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.240","-0.533","-0.365"
"125:34:09","-0.217","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.240","-0.533","-0.365"
"125:34:10","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.240","-0.533","-0.365"
"125:34:11","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.239","-0.533","-0.365"
"125:34:12","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.239","-0.533","-0.365"
"125:34:13","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.239","-0.533","-0.365"
"125:34:14","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.239","-0.533","-0.365"
"125:34:15","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.239","-0.533","-0.365"
"125:34:16","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.239","-0.533","-0.365"
"125:34:17","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.239","-0.533","-0.365"
"125:34:18","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.239","-0.533","-0.365"
"125:34:19","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.239","-0.533","-0.365"
"125:34:20","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.239","-0.533","-0.365"
"125:34:21","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.239","-0.533","-0.365"
"125:34:22","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.239","-0.533","-0.365"
"125:34:23","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.238","-0.533","-0.365"
"125:34:24","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.238","-0.533","-0.365"
"125:34:25","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.238","-0.533","-0.365"
"125:34:26","-0.218","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.238","-0.533","-0.365"
"125:34:27","-0.218","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.238","-0.533","-0.365"
"125:34:28","-0.218","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.238","-0.533","-0.365"
"125:34:29","-0.218","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.238","-0.533","-0.365"
"125:34:30","-0.218","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.238","-0.533","-0.365"
"125:34:31","-0.218","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.238","-0.533","-0.365"
"125:34:32","-0.218","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.238","-0.533","-0.365"
"125:34:33","-0.218","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.238","-0.533","-0.365"
"125:34:34","-0.218","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.238","-0.533","-0.365"
"125:34:35","-0.218","-0.280","-0.508","-0.007","0.000","-0.063","-0.316","-0.237","-0.533","-0.365"
"125:34:36","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.237","-0.533","-0.365"
"125:34:37","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.237","-0.533","-0.365"
"125:34:38","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.237","-0.533","-0.365"
"125:34:39","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.237","-0.533","-0.365"
"125:34:40","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.237","-0.533","-0.365"
"125:34:41","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.237","-0.533","-0.365"
"125:34:42","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.237","-0.533","-0.365"
"125:34:43","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.237","-0.533","-0.365"
"125:34:44","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.237","-0.533","-0.365"
"125:34:45","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.237","-0.533","-0.365"
"125:34:46","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.237","-0.533","-0.365"
"125:34:47","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.236","-0.533","-0.365"
"125:34:48","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.236","-0.533","-0.365"
"125:34:49","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.236","-0.533","-0.365"
"125:34:50","-0.218","-0.280","-0.509","-0.007","0.000","-0.063","-0.316","-0.236","-0.533","-0.365"
"125:34:51","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.236","-0.533","-0.365"
"125:34:52","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.236","-0.533","-0.365"
"125:34:53","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.236","-0.533","-0.365"
"125:34:54","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.236","-0.533","-0.365"
"125:34:55","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.236","-0.533","-0.365"
"125:34:56","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.236","-0.533","-0.365"
"125:34:57","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.236","-0.533","-0.365"
"125:34:58","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.236","-0.533","-0.365"
"125:34:59","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.235","-0.533","-0.365"
"125:35:00","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.235","-0.534","-0.366"
"125:35:01","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.235","-0.534","-0.366"
"125:35:02","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.235","-0.534","-0.366"
"125:35:03","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.235","-0.534","-0.366"
"125:35:04","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.235","-0.534","-0.366"
"125:35:05","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.235","-0.534","-0.366"
"125:35:06","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.235","-0.534","-0.366"
"125:35:07","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.235","-0.534","-0.366"
"125:35:08","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.235","-0.534","-0.366"
"125:35:09","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.235","-0.534","-0.366"
"125:35:10","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.235","-0.534","-0.366"
"125:35:11","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.234","-0.534","-0.366"
"125:35:12","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.234","-0.534","-0.366"
"125:35:13","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.234","-0.534","-0.366"
"125:35:14","-0.218","-0.279","-0.509","-0.007","0.000","-0.063","-0.316","-0.234","-0.534","-0.366"
"125:35:15","-0.218","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.234","-0.534","-0.366"
"125:35:16","-0.218","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.234","-0.534","-0.366"
"125:35:17","-0.218","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.234","-0.534","-0.366"
"125:35:18","-0.218","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.234","-0.534","-0.366"
"125:35:19","-0.218","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.234","-0.534","-0.366"
"125:35:20","-0.218","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.234","-0.534","-0.366"
"125:35:21","-0.218","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.234","-0.534","-0.366"
"125:35:22","-0.218","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.234","-0.534","-0.366"
"125:35:23","-0.218","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.233","-0.534","-0.366"
"125:35:24","-0.218","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.233","-0.534","-0.366"
"125:35:25","-0.218","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.233","-0.534","-0.366"
"125:35:26","-0.218","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.233","-0.534","-0.366"
"125:35:27","-0.218","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.233","-0.534","-0.366"
"125:35:28","-0.218","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.233","-0.534","-0.366"
"125:35:29","-0.218","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.233","-0.534","-0.366"
"125:35:30","-0.219","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.233","-0.534","-0.366"
"125:35:31","-0.219","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.233","-0.534","-0.366"
"125:35:32","-0.219","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.233","-0.534","-0.366"
"125:35:33","-0.219","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.233","-0.534","-0.366"
"125:35:34","-0.219","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.233","-0.534","-0.366"
"125:35:35","-0.219","-0.279","-0.510","-0.007","0.000","-0.063","-0.316","-0.232","-0.534","-0.366"
"125:35:36","-0.219","-0.279","-0.511","-0.007","0.000","-0.063","-0.316","-0.232","-0.534","-0.366"
"125:35:37","-0.219","-0.279","-0.511","-0.007","0.000","-0.063","-0.316","-0.232","-0.534","-0.366"
"125:35:38","-0.219","-0.279","-0.511","-0.007","0.000","-0.063","-0.316","-0.232","-0.534","-0.366"
"125:35:39","-0.219","-0.279","-0.511","-0.007","0.000","-0.062","-0.316","-0.232","-0.534","-0.366"
"125:35:40","-0.219","-0.279","-0.511","-0.007","0.000","-0.062","-0.316","-0.232","-0.534","-0.366"
"125:35:41","-0.219","-0.279","-0.511","-0.007","0.000","-0.062","-0.316","-0.232","-0.534","-0.366"
"125:35:42","-0.219","-0.279","-0.511","-0.007","0.000","-0.062","-0.316","-0.232","-0.534","-0.366"
"125:35:43","-0.219","-0.279","-0.511","-0.007","0.000","-0.062","-0.316","-0.232","-0.534","-0.366"
"125:35:44","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.232","-0.534","-0.366"
"125:35:45","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.232","-0.534","-0.366"
"125:35:46","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.232","-0.534","-0.366"
"125:35:47","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.231","-0.534","-0.366"
"125:35:48","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.231","-0.534","-0.366"
"125:35:49","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.231","-0.534","-0.366"
"125:35:50","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.231","-0.534","-0.366"
"125:35:51","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.231","-0.534","-0.366"
"125:35:52","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.231","-0.534","-0.366"
"125:35:53","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.231","-0.534","-0.366"
"125:35:54","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.231","-0.534","-0.366"
"125:35:55","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.231","-0.534","-0.366"
"125:35:56","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.231","-0.534","-0.366"
"125:35:57","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.231","-0.534","-0.366"
"125:35:58","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.231","-0.534","-0.366"
"125:35:59","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.231","-0.534","-0.366"
"125:36:00","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.230","-0.534","-0.366"
"125:36:01","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.230","-0.534","-0.366"
"125:36:02","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.230","-0.534","-0.366"
"125:36:03","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.230","-0.534","-0.366"
"125:36:04","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.230","-0.534","-0.366"
"125:36:05","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.230","-0.534","-0.366"
"125:36:06","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.230","-0.534","-0.366"
"125:36:07","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.230","-0.534","-0.366"
"125:36:08","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.230","-0.534","-0.366"
"125:36:09","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.230","-0.534","-0.366"
"125:36:10","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.230","-0.534","-0.366"
"125:36:11","-0.219","-0.278","-0.511","-0.007","0.000","-0.062","-0.316","-0.230","-0.534","-0.366"
